Name, StationType, County, MaxTemperature, MinTemperature, Precipitation
LELAND BOWMAN LOCK, COOP, Vermilion Parish, 87, 78, 0.00
LUTCHER, COOP, Saint James Parish, M, M, 0.00
SLIDELL, COOP, Saint Tammany Parish, 85, 76, 0.00
LAKE CHARLES 7 NW, COOP, Calcasieu Parish, M, M, 1.04
GRAND ISLE, COOP, Jefferson Parish, M, M, 0.00
SALT POINT, WBAN, Saint Mary Parish, M, M, M
BOOTHVILLE ASOS, WBAN, Plaquemines Parish, 85, 74, 0.00
GALLIANO, COOP, Lafourche Parish, 85, 77, 0.00
MORGAN CITY, COOP, Saint Mary Parish, 84, 73, 0.00
ROCKEFELLER WL REFUGE, COOP, Cameron Parish, 83, 76, 0.00
FRANKLIN 3 NW, COOP, Saint Mary Parish, 87, 71, 0.20
HACKBERRY 8 SSW, COOP, Cameron Parish, 85, 79, 0.06
NAPOLEONVILLE, COOP, Assumption Parish, M, M, 0.00
JEANERETTE 5 NW, COOP, Iberia Parish, 88, 73, 0.00
ABBEVILLE, COOP, Vermilion Parish, M, M, T
LAKE ARTHUR 7 SW, COOP, Cameron Parish, 85, 77, 0.00
NEW IBERIA AIRPORT - ACADIANA REGIONAL, WBAN, Iberia Parish, 88, 70, 0.47
RESERVE, COOP, Saint John the Baptist Parish, M, M, M
CLINTON 5 SE, COOP, East Feliciana Parish, 87, 75, 1.19
BEAVER FIRE TOWER, COOP, Evangeline Parish, M, M, 1.27
OAKDALE, COOP, Allen Parish, M, M, M
DE RIDDER, COOP, Beauregard Parish, 86, 69, 0.16
BUNKIE, COOP, Avoyelles Parish, 89, 69, 0.95
MARKSVILLE, COOP, Avoyelles Parish, M, M, 0.81
LEESVILLE, COOP, Vernon Parish, 89, 69, 0.27
LSU DEAN LEE RES. STA., COOP, Rapides Parish, 87, 69, 0.77
ALEXANDRIA ESLER FIELD, WBAN, Rapides Parish, 77, 67, 2.44
BOYCE 3 WNW, COOP, Rapides Parish, 73, 64, 2.82
PEASON RIDGE RANGE, WBAN, Sabine Parish, 77, 67, 3.39
JONESVILLE LOCKS, COOP, Catahoula Parish, 88, 71, 0.75
ST. JOSEPH 3 N, COOP, Tensas Parish, 92, 67, 0.68
LOGANSPORT, COOP, De Soto Parish, M, M, 1.08
WINNSBORO 5 SSE, COOP, Franklin Parish, 92, 65, 2.91
COLUMBIA LOCK, COOP, Caldwell Parish, 89, 66, 7.10
BIENVILLE 3 NE, COOP, Bienville Parish, 73, 66, 9.00
SAILES FIRE TOWER, COOP, Bienville Parish, M, M, 2.43
KEITHVILLE, COOP, Caddo Parish, M, M, 4.50
TALLULAH, COOP, Madison Parish, 88, 69, 2.40
KORAN, COOP, Bossier Parish, M, M, 0.53
RED RIVER RESEARCH STATION, COOP, Bossier Parish, 81, 70, 2.09
SHREVEPORT AP, WBAN, Caddo Parish, 77, 67, 4.18
MONROE REGIONAL AP, WBAN, Ouachita Parish, 73, 63, 1.89
MONROE DELTA CC, COOP, Ouachita Parish, M, M, 1.47
CALHOUN 2 N, COOP, Ouachita Parish, 87, 66, 4.21
MINDEN, COOP, Webster Parish, 83, 69, 2.48
SHREVEPORT DOWNTOWN AP, WBAN, Caddo Parish, 78, 71, 1.54
ARCADIA, COOP, Bienville Parish, M, M, 2.77
OAK RIDGE, COOP, Morehouse Parish, M, M, M
MOORINGSPORT 1 N, COOP, Caddo Parish, 80, 70, 0.00
FARMERVILLE, COOP, Union Parish, 86, 67, 1.35
HOMER 1N, COOP, Claiborne Parish, 82, 67, 3.15
LAKE PROVIDENCE, COOP, East Carroll Parish, 83, 68, 1.70
OAK GROVE, COOP, West Carroll Parish, M, M, 0.75
PLAIN DEALING, COOP, Bossier Parish, M, M, 0.42
SPRINGHILL, COOP, Webster Parish, M, M, 0.32
BAKER, COOP, East Baton Rouge Parish, M, M, 0.00
VIDALIA NO 2, COOP, Concordia Parish, M, M, 0.80
ST MARTINVILLE 3 SW, COOP, Saint Martin Parish, 85, 74, 0.00
JENA, COOP, La Salle Parish, 87, 66, 0.99
BATON ROUGE CONCORD, COOP, East Baton Rouge Parish, M, M, 0.00
SHREVEPORT DOWNTOWN, COOP, Caddo Parish, M, M, 2.49
RAYVILLE, COOP, Richland Parish, 89, 69, 1.67
