EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
577286,RED RIVER PAR.,HOWARD,05/18/2015,545,Flood, , ,0,0,0,0,LA,CST-6, ,96047,C,81,SHV,0,0,River/Stream Gage,Heavy Rain, , ,1,W,3,E,HOWARD,05/31/2015,2359,32.2297,-93.4981,32.2309,-93.4236,"Excessive heavy rainfall during the month of May in the Red River Basin of Southern Oklahoma, Northern Texas and Southwest Arkansas resulted in very high water on the Red River bordering McCurtain County in Southeast Oklahoma, Little River, Hempstead, Lafayette and Miller Counties in Southwest Arkansas, Bowie and Red River Counties in Northeast Texas as well as Caddo, Bossier, Red River, Natchitoches, Winn and Grant Parishes in Northwest Louisiana. Rainfall amounts during the month of May across the Upper and Middle Red River basins of Southern Oklahoma and Northern Texas totaled over 20 inches of rain.  At Shreveport, Louisiana, the Red River rose above the 30 foot flood stage on May 30th and remained above flood stage through the end of the month. The Red River in Shreveport, Louisiana, which borders Caddo and Bossier Parishes in Northwest Louisiana, did not crest until the month of June, 2015. A more complete write up for the Red River in Northwest Louisiana will be included in the June, 2015 Storm Data publication.  Below Shreveport, Louisiana at Coushatta, Louisiana, the Red River rose above the 31 foot flood stage on May 18th and remained above flood stage through the end of the month.  The Red River at Coushatta, Louisiana did not crest until the month of June, 2015 and a more complete write up for the Red River in Red River Parish will be included in the June, 2015 Storm Data publication.","Excessive heavy rainfall during the month of May resulted in very high river levels on the Red River.",1
577292,NATCHITOCHES PAR.,KING HILL,05/18/2015,815,Flood, , ,0,0,0,0,LA,CST-6, ,96047,C,69,SHV,0,0,River/Stream Gage,Heavy Rain, , ,3,ENE,2,NNW,GRAPPES BLUFF,05/31/2015,2359,31.8986,-93.2774,31.9395,-93.2121,"Excessive heavy rainfall during the month of May in the Red River Basin of Southern Oklahoma, Northern Texas and Southwest Arkansas resulted in very high water on the Red River bordering McCurtain County in Southeast Oklahoma, Little River, Hempstead, Lafayette and Miller Counties in Southwest Arkansas, Bowie and Red River Counties in Northeast Texas as well as Caddo, Bossier, Red River, Natchitoches, Winn and Grant Parishes in Northwest Louisiana. Rainfall amounts during the month of May across the Upper and Middle Red River basins of Southern Oklahoma and Northern Texas totaled over 20 inches of rain. At Shreveport, Louisiana, the Red River rose above the 30 foot flood stage on May 30th and remained above flood stage through the end of the month. The Red River in Shreveport, Louisiana, which borders Caddo and Bossier Parishes in Northwest Louisiana, did not crest until the month of June, 2015. A more complete write up for the Red River in Northwest Louisiana will be included in the June, 2015 Storm Data publication. Below Shreveport, Louisiana at Coushatta, Louisiana, the Red River rose above the 31 foot flood stage on May 18th and remained above flood stage through the end of the month. The Red River at Coushatta, Louisiana did not crest until the month of June, 2015 and a more complete write up for the Red River in Red River Parish will be included in the June, 2015 Storm Data publication.   Below Coushatta, Louisiana at Grand Ecore, Louisiana, the Red River rose above the 33 foot flood stage on May 18th and remained above flood stage through the end of the month.  The Red River at Grand Ecore, Louisiana did not crest until the month of June, 2015 and a more complete write up for the Red River in Natchitoches Parish will be included in the June, 2015 Storm Data publication.","Excessive heavy rainfall during the month of May resulted in very high river levels on the Red River.",2
577302,WINN PAR.,ST MAURICE,05/18/2015,815,Flood, , ,0,0,0,0,LA,CST-6, ,96047,C,127,SHV,0,0,River/Stream Gage,Heavy Rain, , ,3,SSW,2,WSW,ST MAURICE,05/31/2015,2359,31.7066,-92.9876,31.7382,-92.9993,"Excessive heavy rainfall during the month of May in the Red River Basin of Southern Oklahoma, Northern Texas and Southwest Arkansas resulted in very high water on the Red River bordering McCurtain County in Southeast Oklahoma, Little River, Hempstead, Lafayette and Miller Counties in Southwest Arkansas, Bowie and Red River Counties in Northeast Texas as well as Caddo, Bossier, Red River, Natchitoches, Winn and Grant Parishes in Northwest Louisiana. Rainfall amounts during the month of May across the Upper and Middle Red River basins of Southern Oklahoma and Northern Texas totaled over 20 inches of rain. At Shreveport, Louisiana, the Red River rose above the 30 foot flood stage on May 30th and remained above flood stage through the end of the month. The Red River in Shreveport, Louisiana, which borders Caddo and Bossier Parishes in Northwest Louisiana, did not crest until the month of June, 2015. A more complete write up for the Red River in Northwest Louisiana will be included in the June, 2015 Storm Data publication. Below Shreveport, Louisiana at Coushatta, Louisiana, the Red River rose above the 31 foot flood stage on May 18th and remained above flood stage through the end of the month. The Red River at Coushatta, Louisiana did not crest until the month of June, 2015 and a more complete write up for the Red River in Red River Parish will be included in the June, 2015 Storm Data publication. Below Coushatta, Louisiana at Grand Ecore, Louisiana, the Red River rose above the 33 foot flood stage on May 18th and remained above flood stage through the end of the month. The Red River at Grand Ecore, Louisiana did not crest until the month of June, 2015. A more complete write up for the Red River in Winn Parish will be included in the June, 2015 Storm Data publication.","Excessive heavy rainfall during the month of May resulted in very high river levels on the Red River.",3
577296,GRANT PAR.,MONTGOMERY,05/18/2015,815,Flood, , ,0,0,0,0,LA,CST-6, ,96047,C,43,SHV,0,0,River/Stream Gage,Heavy Rain, , ,6,WNW,3,NW,HARGIS,05/31/2015,2359,31.7066,-92.9931,31.7201,-92.8619,"Excessive heavy rainfall during the month of May in the Red River Basin of Southern Oklahoma, Northern Texas and Southwest Arkansas resulted in very high water on the Red River bordering McCurtain County in Southeast Oklahoma, Little River, Hempstead, Lafayette and Miller Counties in Southwest Arkansas, Bowie and Red River Counties in Northeast Texas as well as Caddo, Bossier, Red River, Natchitoches, Winn and Grant Parishes in Northwest Louisiana. Rainfall amounts during the month of May across the Upper and Middle Red River basins of Southern Oklahoma and Northern Texas totaled over 20 inches of rain. At Shreveport, Louisiana, the Red River rose above the 30 foot flood stage on May 30th and remained above flood stage through the end of the month. The Red River in Shreveport, Louisiana, which borders Caddo and Bossier Parishes in Northwest Louisiana, did not crest until the month of June, 2015. A more complete write up for the Red River in Northwest Louisiana will be included in the June, 2015 Storm Data publication. Below Shreveport, Louisiana at Coushatta, Louisiana, the Red River rose above the 31 foot flood stage on May 18th and remained above flood stage through the end of the month. The Red River at Coushatta, Louisiana did not crest until the month of June, 2015 and a more complete write up for the Red River in Red River Parish will be included in the June, 2015 Storm Data publication. Below Coushatta, Louisiana at Grand Ecore, Louisiana, the Red River rose above the 33 foot flood stage on May 18th and remained above flood stage through the end of the month. The Red River at Grand Ecore, Louisiana did not crest until the month of June, 2015. A more complete write up for the Red River in Grant Parish will be included in the June, 2015 Storm Data publication.","Excessive heavy rainfall during the month of May resulted in very high river levels on the Red River.",4
577284,BOSSIER PAR.,FERRY,05/30/2015,2100,Flood, , ,0,0,0,0,LA,CST-6, ,96046,C,15,SHV,0,0,River/Stream Gage,Heavy Rain, , ,3,WNW,3,ENE,FERRY,05/31/2015,2359,33.0168,-93.859,33.0185,-93.7717,"Excessive heavy rainfall during the month of May in the Red River Basin of Southern Oklahoma, Northern Texas and Southwest Arkansas resulted in very high water on the Red River bordering McCurtain County in Southeast Oklahoma, Little River, Hempstead, Lafayette and Miller Counties in Southwest Arkansas, Bowie and Red River Counties in Northeast Texas as well as Caddo, Bossier, Red River, Natchitoches, Winn and Grant Parishes in Northwest Louisiana. Rainfall amounts during the month of May across the Upper and Middle Red River basins of Southern Oklahoma and Northern Texas totaled over 20 inches of rain. At Shreveport, Louisiana, the Red River rose above the 30 foot flood stage on May 30th and remained above flood stage through the end of the month. The Red River in Shreveport, Louisiana, which borders Caddo and Bossier Parishes in Northwest Louisiana, did not crest until the month of June, 2015. A more complete write up for the Red River in Caddo and Bossier Parishes in Northwest Louisiana will be included in the June, 2015 Storm Data publication.","Excessive heavy rainfall during the month of May resulted in very high river levels on the Red River.",5
577283,CADDO PAR.,MISSIONARY,05/30/2015,2100,Flood, , ,0,0,0,0,LA,CST-6, ,96046,C,17,SHV,0,0,River/Stream Gage,Heavy Rain, , ,1,N,4,ENE,MISSIONARY,05/31/2015,2359,33.0179,-93.8473,33.0179,-93.7814,"Excessive heavy rainfall during the month of May in the Red River Basin of Southern Oklahoma, Northern Texas and Southwest Arkansas resulted in very high water on the Red River bordering McCurtain County in Southeast Oklahoma, Little River, Hempstead, Lafayette and Miller Counties in Southwest Arkansas, Bowie and Red River Counties in Northeast Texas as well as Caddo, Bossier, Red River, Natchitoches, Winn and Grant Parishes in Northwest Louisiana. Rainfall amounts during the month of May across the Upper and Middle Red River basins of Southern Oklahoma and Northern Texas totaled over 20 inches of rain. At Shreveport, Louisiana, the Red River rose above the 30 foot flood stage on May 30th and remained above flood stage through the end of the month. The Red River in Shreveport, Louisiana, which borders Caddo and Bossier Parishes in Northwest Louisiana, did not crest until the month of June, 2015. A more complete write up for the Red River in Caddo and Bossier Parishes in Northwest Louisiana will be included in the June, 2015 Storm Data publication.","Excessive heavy rainfall during the month of May resulted in very high river levels on the Red River.",6
577986,CADDO PAR.,MISSIONARY,06/01/2015,0,Flood, , ,0,0,8200000,0,LA,CST-6, ,96152,C,17,SHV,0,0,River/Stream Gage,Heavy Rain, , ,2,NW,6,E,MISSIONARY,06/30/2015,2359,33.0168,-93.8672,33.0168,-93.7408,"Excessive heavy rainfall during the month of May in the Red River Basin of Southern Oklahoma, Northern Texas and Southwest Arkansas resulted in very high water on the Red River during the month of June bordering McCurtain County in Southeast Oklahoma, Little River, Hempstead, Lafayette and Miller Counties in Southwest Arkansas, Bowie and Red River Counties in Northeast Texas as well as Caddo, Bossier, Red River, Natchitoches, Winn and Grant Parishes in Northwest Louisiana. Rainfall amounts during the month of May across the Upper and Middle Red River basins of Southern Oklahoma and Northern Texas totaled over 20 inches of rain. At Shreveport, Louisiana, the Red River rose above the 30 foot flood stage on May 30th and rose above the 33 foot major flood stage on June 3rd. The Red River in Shreveport crested at 37.14 feet on June 9th which was the highest recorded crest in Shreveport, Louisiana since the flood of 1945. This was the 22nd highest crest at Shreveport, in recorded history at the gauging location with the flood of record being 45.90 feet in 1849. The Red River in Shreveport fell below the 33 foot major flood stage on June 15th and fell below the 30 foot flood stage on June 17th. A secondary rise on the Red River developed because of excessive heavy rainfall once again in the middle Red River Basin from the remnants of Tropical Storm Bill. As a result, the Red River at Shreveport crested again at 31.06 feet on June 30th. Bank erosion was extreme on the Caddo Parish side of the Red River with 5 thousand acres of farmland and pastureland inundated. Hundreds of head of cattle had to be relocated. The United States Highway 259 bridge, Hwy 8 bridge and the Hwy. 71 bridge going over the Red River were closed. In addition, the west bound lane of Interstate 220 was briefly closed as severe backwater flooding brought water over both east and west bound lanes of the interstate.  Other bridges cross the Red River including La. Hwy. 2, Interstate 20, Shreveport/Barksdale and Jimmy Davis Bridges were not affected.  Upwards of 36 roadways across Caddo Parish were closed including Clyde Fant Parkway in Downtown Shreveport, Airport Drive, Grimmett Drive, Crockett Street to Shreveport Barksdale Highway, Russell Road, State Highway 3049 from State Highway 538 to 1 mile north of the Interstate 220 underpass, Perrin Street in the Allendale neighborhood, Oregon Avenue, Wells Island Road, Nash, Brice, Hall, Bonnie and Aline streets off Russel Road and other roads near Cross Bayou, Twelve Mile Bayou, McCain Creek and Middle Bayou. Approximately 150 dwellings were affected with 40 homes completely inundated.  The worst subdivisions affected were the Allendale and Martin Luther King Jr. subdivisions. 38 homes were damaged in the Martin Luther King subdivision, 41 homes in the Allendale subdivision and 6 additional homes in Southeast Shreveport and an unknown number of homes off of Wells Island Road.  Other subdivisions that were threatened included The Haven and Les Maison subdivisions off of East Kings Highway.  These subdivisions which were built inside the Red River levee system were saved due to hundreds of residents sandbagging their homes. The Downtown Shreveport River Front suffered severe river flooding with two feet of water covering the Clyde Fant Parkway and the Barnwell Center portion of Downtown Shreveport.  Sandbagging efforts resulted in no businesses suffering any water damage from the swollen river. The Northwest Louisiana Red Cross opened 2 shelters to house those residents whose homes were threatened or inundated.  The City of Shreveport worked with its partners to protect key city infrastructure including the Amiss Water Plant and the Lucas and North Regional Waste Water Treatment Plants. 255,000 sand bags were made available by local law enforcement and the Louisiana Governor's Office of Homeland Security with 655,000 more sandbags on standby.  The Governor of Louisiana authorized the activation of up to 200 Louisiana National Guardsman on State Active Duty to support flood response efforts in Northwest Louisiana and assist local, parish and state emergency officials. The Louisiana National Guard Engineering Team constructed an 800 linear foot HESCO barrier, consisting of two rows on the bottom and one on the top totalling 2400 linear feet, to fortify a concrete wall located at Clyde Fant Parkway and Jimmy Davis Highway in Shreveport.  Prior to this, the Guardsmen constructed a 610 linear foot temporary berm while assisting Caddo Parish officials to improve protection measures of the Stoner Lift Station.  Caddo, Bossier, Red River, Natchitoches and Grant Parishes signed emergency declarations due to the excessive flooding and disaster teams from The Federal Emergency Management Agency (FEMA) and The Governor's Office of Homeland & Emergency Preparedness (GOHSEP) surveying efforts continued as of this writing.  A Federal Disaster Declaration was issued for Caddo, Bossier, Red River, Natchitoches and Grant Parishes in Northwest Louisiana for the Red River flooding event of 2015.  Preliminary damage estimates of just Caddo Parish totaled 8.2 million dollars.","Excessive heavy rainfall during the month of May resulted in very high river levels on the Red River which borders Caddo, Bossier, Red River, Natchitoches, Winn and Grant Parishes in Northwest Louisiana.",7
578218,BOSSIER PAR.,FERRY,06/01/2015,0,Flood, , ,0,0,5600000,0,LA,CST-6, ,96152,C,15,SHV,0,0,River/Stream Gage,Heavy Rain, , ,3,WNW,4,ENE,FERRY,06/30/2015,2359,33.018,-93.8631,33.0168,-93.7601,"Excessive heavy rainfall during the month of May in the Red River Basin of Southern Oklahoma, Northern Texas and Southwest Arkansas resulted in very high water on the Red River during the month of June bordering McCurtain County in Southeast Oklahoma, Little River, Hempstead, Lafayette and Miller Counties in Southwest Arkansas, Bowie and Red River Counties in Northeast Texas as well as Caddo, Bossier, Red River, Natchitoches, Winn and Grant Parishes in Northwest Louisiana. Rainfall amounts during the month of May across the Upper and Middle Red River basins of Southern Oklahoma and Northern Texas totaled over 20 inches of rain. At Shreveport, Louisiana, the Red River rose above the 30 foot flood stage on May 30th and rose above the 33 foot major flood stage on June 3rd. The Red River in Shreveport crested at 37.14 feet on June 9th which was the highest recorded crest in Shreveport, Louisiana since the flood of 1945. This was the 22nd highest crest at Shreveport in recorded history at the gauging location, with the flood of record being 45.90 feet in 1849. The Red River in Shreveport fell below the 33 foot major flood stage on June 15th and fell below the 30 foot flood stage on June 17th. A secondary rise on the Red River developed because of excessive heavy rainfall once again in the middle Red River Basin from the remnants of Tropical Storm Bill. As a result, the Red River at Shreveport crested again at 31.06 feet on June 30th. Bank erosion was extreme on the Bossier Parish side of the Red River with several thousand acres of farmland and pastureland inundated. Hundreds of head of cattle had to be relocated. The United States Highway 259 bridge, Hwy 8 bridge and the Hwy. 71 bridge going over the Red River were closed. In addition, the west bound lane of Interstate 220 was briefly closed as severe backwater flooding brought water over both east and west bound lanes of the interstate. Other bridges cross the Red River including La. Hwy. 2, Interstate 20, Shreveport/Barksdale and Jimmy Davis Bridges were not affected. Many roads were closed adjacent to the Red River in Bossier Parish including the Arthur Ray Teague Parkway between the Shreveport Barksdale Bridge and the Century Link Center, all roads leading into and around the River Bluff Subdivision, all roads in and around the Cash Point RV Park in north Bossier and Hwy. 537 from Pittman Road to Log Ferry Road. La. 515 in south Bossier was closed from the Loggy Bayou Bridge in Red River Parish to U.S. 71 in Bossier Parish.  Atkins Clark Road and Levee Board Road in the south part of Bossier Parish was also closed from severe backwater flooding. About 32 homes were affected by water including 9 homes completely inundated.  The worst subdivisions affected were the River Bluff Subdivision and the Cash Point RV Park, both of which were under a recommended evacuation during the height of the flood.  In the River Bluff Subdivision, about 2 dozen homes had water in them and several others were threatened but saved from sandbagging efforts. In the Cash Point RV Park, about 50 RVs and mobile homes suffered water damage. The Cash Point The Party Place establishment also suffered water damage.  In the Buckhall Road area, about 10 homes just north of Cash Point saw flooding.  South of Bossier City at the Red River South Marina, 5 large mobile homes and 34 cabins suffered water damage and in Ash Point near Taylortown, one home suffered water damage.  In Bossier City itself, the Boardwalk suffered severe flooding when the storm drains backed up inside a retaining wall around the Boardwalk.  The businesses inside the retaining wall were not affected however as they were built at a higher elevation.  On June 9th, around 730 pm, a major gas line ruptured in the River Bluff Subdivision where flood waters were several feet high. Fortunately the rupture occurred in newly developed portion of the subdivision where no new homes had been built yet and no injuries were reported.  Bayous and waterways in South Bossier which feed the Red River also saw severe backwater flooding including Loggy Bayou, the Flat River and Red Chute Bayou. Emergency Shelters were set up at the Elm Grove Elementary School which was manned by the American Red Cross. About 255,000 sand bags were made available by local law enforcement and the Louisiana Governor's Office of Homeland Security with 655,000 more sandbags on standby. The Governor of Louisiana authorized the activation of up to 200 Louisiana National Guardsman on State Active Duty to support flood response efforts in Northwest Louisiana and assist local, parish and state emergency officials. Caddo, Bossier, Red River, Natchitoches and Grant Parishes signed emergency declarations due to the excessive flooding and disaster teams from The Federal Emergency Management Agency (FEMA) and The Governor's Office of Homeland & Emergency Preparedness (GOHSEP) surveying efforts continued as of this writing.  A Federal Disaster Declaration was issued for Caddo, Bossier, Red River, Natchitoches and Grant Parishes in Northwest Louisiana for the Red River flooding event of 2015.  Damage estimated by Bossier Parish, Louisiana Emergency Management Officials was near 5.6 million dollars and that damage estimate did not include agricultural or environmental monetary losses.","Excessive heavy rainfall during the month of May resulted in very high river levels on the Red River which borders Caddo, Bossier, Red River, Natchitoches, Winn and Grant Parishes in Northwest Louisiana.",8
579958,RED RIVER PAR.,HOWARD,06/01/2015,0,Flood, , ,0,0,0,0,LA,CST-6, ,96152,C,81,SHV,0,0,River/Stream Gage,Heavy Rain, , ,0,WNW,2,E,HOWARD,06/30/2015,2359,32.2314,-93.4858,32.2291,-93.4398,"Excessive heavy rainfall during the month of May in the Red River Basin of Southern Oklahoma, Northern Texas and Southwest Arkansas resulted in very high water on the Red River during the month of June bordering McCurtain County in Southeast Oklahoma, Little River, Hempstead, Lafayette and Miller Counties in Southwest Arkansas, Bowie and Red River Counties in Northeast Texas as well as Caddo, Bossier, Red River, Natchitoches, Winn and Grant Parishes in Northwest Louisiana. Rainfall amounts during the month of May across the Upper and Middle Red River basins of Southern Oklahoma and Northern Texas totaled over 20 inches of rain. At Shreveport, Louisiana, the Red River rose above the 30 foot flood stage on May 30th and rose above the 33 foot major flood stage on June 3rd. The Red River in Shreveport crested at 37.14 feet on June 9th which was the highest recorded crest in Shreveport, Louisiana since the flood of 1945. This was the 22nd highest crest at Shreveport in recorded history at the gauging location, with the flood of record being 45.90 feet in 1849. The Red River in Shreveport fell below the 33 foot major flood stage on June 15th and fell below the 30 foot flood stage on June 17th. A secondary rise on the Red River developed because of excessive heavy rainfall once again in the middle Red River Basin from the remnants of Tropical Storm Bill. As a result, the Red River at Shreveport crested again at 31.06 feet on June 30th.  Downstream of Shreveport at Coushatta, Louisiana the Red River rose above the 31 foot flood stage on May 18th and rose above the 37 foot major flood stage on June 6th. The Red River in Coushatta crested at 38.83 feet on June 11th which was the highest recorded crest in Coushtatta, Louisiana since the flood of 1945. This was the 3rd highest crest at Coushatta in recorded history at the gauging location with the flood of record being 39.9 feet in 1945. The Red River in Coushatta fell below the 37 foot major flood stage on June 16th and fell below the 31 foot flood stage on June 23rd. A secondary rise on the Red River developed because of excessive heavy rainfall once again in the middle Red River Basin from the remnants of Tropical Storm Bill. As a result, the Red River at Coushatta crested again just above the 31 foot flood stage the first week of July, 2015. Bank erosion was extreme on the Red River Parish side of the Red River with  thousands of acres of farmland and pastureland inundated. Hundreds of head of cattle had to be relocated and many were lost. Many roads were closed adjacent to the Red River in Red River Parish including Hwy. 515 and 480 in Coushatta. During the entire event, pumps continued to pump water from the parish side of the levee to the river side of the levee in the East Point community.  Several structures and homes were affected by the rising river but a total count and monetary amount was not available for this writing. About 255,000 sand bags were made available by local law enforcement and the Louisiana Governor's Office of Homeland Security with 655,000 more sandbags on standby. The Red River Parish homeland security sandbagged numerous homes that were in risk of flooding. The Governor of Louisiana authorized the activation of up to 200 Louisiana National Guardsman on State Active Duty to support flood response efforts in Northwest Louisiana and assist local, parish and state emergency officials. Caddo, Bossier, Red River, Natchitoches and Grant Parishes signed emergency declarations due to the excessive flooding and disaster teams from The Federal Emergency Management Agency (FEMA) and The Governor's Office of Homeland & Emergency Preparedness (GOHSEP) surveying efforts continued as of this writing.  A Federal Disaster Declaration was issued for Caddo, Bossier, Red River, Natchitoches and Grant Parishes in Northwest Louisiana for the Red River flooding event of 2015.","Excessive heavy rainfall during the month of May resulted in very high river levels on the Red River which borders Caddo, Bossier, Red River, Natchitoches, Winn and Grant Parishes in Northwest Louisiana.",9
580291,GRANT PAR.,MONTGOMERY,06/01/2015,0,Flood, , ,0,1,0,0,LA,CST-6, ,96152,C,43,SHV,0,0,River/Stream Gage,Heavy Rain, , ,7,WNW,3,NNW,MONTGOMERY,06/30/2015,2359,31.7078,-93.0027,31.7073,-92.9128,"Excessive heavy rainfall during the month of May in the Red River Basin of Southern Oklahoma, Northern Texas and Southwest Arkansas resulted in very high water on the Red River during the month of June bordering McCurtain County in Southeast Oklahoma, Little River, Hempstead, Lafayette and Miller Counties in Southwest Arkansas, Bowie and Red River Counties in Northeast Texas as well as Caddo, Bossier, Red River, Natchitoches, Winn and Grant Parishes in Northwest Louisiana. Rainfall amounts during the month of May across the Upper and Middle Red River basins of Southern Oklahoma and Northern Texas totaled over 20 inches of rain. At Shreveport, Louisiana, the Red River rose above the 30 foot flood stage on May 30th and rose above the 33 foot major flood stage on June 3rd. The Red River in Shreveport crested at 37.14 feet on June 9th which was the highest recorded crest in Shreveport, Louisiana since the flood of 1945. This was the 22nd highest crest at Shreveport in recorded history at the gauging location, with the flood of record being 45.90 feet in 1849. The Red River in Shreveport fell below the 33 foot major flood stage on June 15th and fell below the 30 foot flood stage on June 17th. A secondary rise on the Red River developed because of excessive heavy rainfall once again in the middle Red River Basin from the remnants of Tropical Storm Bill. As a result, the Red River at Shreveport crested again at 31.06 feet on June 30th. Downstream of Shreveport at Coushatta, Louisiana the Red River rose above the 31 foot flood stage on May 18th and rose above the 37 foot major flood stage on June 6th. The Red River in Coushatta crested at 38.83 feet on June 11th which was the highest recorded crest in Coushtatta, Louisiana since the flood of 1945. This was the 3rd highest crest at Coushatta in recorded history at the gauging location with the flood of record being 39.9 feet in 1945. The Red River in Coushatta fell below the 37 foot major flood stage on June 16th and fell below the 31 foot flood stage on June 23rd. A secondary rise on the Red River developed because of excessive heavy rainfall once again in the middle Red River Basin from the remnants of Tropical Storm Bill. As a result, the Red River at Coushatta crested again just above the 31 foot flood stage the first week of July, 2015. Below Coushatta at Grand Ecore, Louisiana, the Red River rose above the 33 foot flood stage on May 18th and rose above the 39 foot major flood stage on June 5th. The Red River in Grand Ecore crested at 42.03 feet on June 13th which was the highest recorded crest in Grand Ecore, Louisiana since the flood of 1945. This was the 2nd highest crest at Grand Ecore in recorded history at the gauging location with the flood of record being 44.7 feet in 1945. The Red River in Grand Ecore fell below the 39 foot major flood stage on June 19th and remained above the 33 foot flood stage through the first week of July because of a secondary rise on the Red River as the remnants of Tropical Storm Bill dumped additional heavy rainfall across the Middle Red River Basin in Northern Texas and Southern Oklahoma. Bank erosion was extreme along both west and east banks of the Red River in Grant Parish with thousands of acres of farmland and pastureland inundated. Cattle had to be relocated and many were lost. Many roads were closed adjacent to the Red River in Grant Parish.  The number of structures and homes affected by the rising river and a monetary amount of damage was not available for this writing. The Grant Parish Police Jury closed Lake Iatt and Nantachie Lake because of the flooding.  An annual event known as the Louisiana Mudfest was interrupted when the Red River breached a private levee on the grounds and flooded the park near Colfax, Louisiana.  A deputy working security for the event noticed a crack in the levee on the morning of June 14th.  Within minutes, the levee broke sending the swollen Red River into the park.  Deputies from the Sheriff's Office, agents with the Louisiana Department of Wildlife and Fisheries, Louisiana State Police, The Louisiana Governor's Office of Homeland Security and Emergency Preparedness and The Louisiana National Guard all responded to evacuate 113 people.  This was done with the help of boats and helicopters.  There was one injury when an individual broke his arm.  A number of vehicles were flooded during the event.  About 255,000 sand bags were made available by local law enforcement and the Louisiana Governor's Office of Homeland Security with 655,000 more sandbags on standby. The Grant Parish homeland security sandbagged numerous homes that were in risk of flooding. The Governor of Louisiana authorized the activation of up to 200 Louisiana National Guardsman on State Active Duty to support flood response efforts in Northwest Louisiana and assist local, parish and state emergency officials. Caddo, Bossier, Red River,Natchitoches and Grant Parishes signed emergency declarations due to the excessive flooding and disaster teams from The Federal Emergency Management Agency (FEMA) and The Governor's Office of Homeland & Emergency Preparedness (GOHSEP) surveying efforts continued as of this writing. A Federal Disaster Declaration was issued for Caddo, Bossier, Red River, Natchitoches and Grant Parishes in Northwest Louisiana for the Red River flooding event of 2015.","Excessive heavy rainfall during the month of May resulted in very high river levels on the Red River which borders Caddo, Bossier, Red River, Natchitoches, Winn and Grant Parishes in Northwest Louisiana.",10
