,County,Parish_Lat,Parish_Lon
1,ALLEN PARISH,30.6558242,-92.8598049
4,AVOYELLES PARISH,31.0471604,-92.0019698
11,CAMERON PARISH,29.888055,-93.1843025
16,EAST BATON ROUGE PARISH,30.5254797,-91.0899217
19,EVANGELINE PARISH,30.6976776,-92.4217813
21,IBERIA PARISH,29.9812242,-91.7451362
32,NATCHITOCHES PARISH,31.6464192,-93.1427138
35,PLAQUEMINES PARISH,29.4291161,-89.5123524
36,POINTE COUPEE PARISH,30.6194283,-91.5740887
38,RED RIVER PARISH,32.0835604,-93.3111105
48,TANGIPAHOA PARISH,30.6323024,-90.4315754
52,VERMILION PARISH,29.8411106,-92.3501175
66,BOSSIER PARISH,32.6676663,-93.5959786
67,CADDO PARISH,32.529173,-93.8931785
68,CALCASIEU PARISH,30.2232015,-93.3434067
93,OUACHITA PARISH,32.4790511,-92.1615004
99,SABINE PARISH,31.5223049,-93.5265161
102,SAINT JAMES PARISH,30.0498665,-90.6838984
107,SAINT TAMMANY PARISH,30.6485219,-90.1534151
118,WEST FELICIANA PARISH,30.8842729,-91.4016657
133,CONCORDIA PARISH,31.3941887,-91.6714379
136,EAST CARROLL PARISH,32.6949938,-91.2605142
161,SAINT HELENA PARISH,30.8080103,-90.6932182
169,TENSAS PARISH,31.9834216,-91.3708695
194,DE SOTO PARISH,32.0358968,-93.7060007
197,EAST FELICIANA PARISH,30.8462165,-91.0405799
205,LAFAYETTE PARISH,30.2141462,-92.0710624
208,LIVINGSTON PARISH,30.4158699,-90.7189344
209,MADISON PARISH,32.3614697,-91.255051
210,MOREHOUSE PARISH,32.8326959,-91.8374127
234,WEBSTER PARISH,32.6358137,-93.3285187
250,CATAHOULA PARISH,31.7294681,-91.8487107
251,CLAIBORNE PARISH,32.8218607,-93.0097229
263,LA SALLE PARISH,31.7088575,-92.1529335
294,WEST BATON ROUGE PARISH,30.4514623,-91.3261882
302,BEAUREGARD PARISH,30.6144496,-93.3416829
334,RAPIDES PARISH,31.1719886,-92.5526386
343,SAINT MARY PARISH,29.6926578,-91.1881386
348,UNION PARISH,32.8385899,-92.3910295
350,VERNON PARISH,31.0847886,-93.2003582
351,WASHINGTON PARISH,30.8337523,-90.0721467
395,RICHLAND PARISH,32.4196791,-91.8105911
421,WEST CARROLL PARISH,32.7864174,-91.4586366
425,ASCENSION PARISH,30.2116442,-90.9186104
446,JEFFERSON DAVIS PARISH,30.2575503,-92.7886576
447,JEFFERSON PARISH,29.8502657,-90.1293894
488,BIENVILLE PARISH,32.3231432,-93.0761115
492,CALDWELL PARISH,32.0820785,-92.1130105
502,FRANKLIN PARISH,32.1254252,-91.6778053
526,SAINT LANDRY PARISH,30.4868676,-92.4851349
663,WINN PARISH,31.947293,-92.6401816
726,ACADIA PARISH,30.2740735,-92.3957036
729,ASSUMPTION PARISH,29.9185432,-91.0533996
749,IBERVILLE PARISH,30.2120844,-91.3133623
772,SAINT MARTIN PARISH,30.1811426,-91.6081116
818,LINCOLN PARISH,32.598162,-92.6792848
840,TERREBONNE PARISH,29.4616211,-90.8705871
938,LAFOURCHE PARISH,29.5820155,-90.3964889
1071,SAINT BERNARD PARISH,29.8217562,-89.6008692
1183,ORLEANS PARISH,30.0801436,-89.9319134
1578,GRANT PARISH,31.5748918,-92.5730029
2408,JACKSON PARISH,32.2932692,-92.5628442
