Name,ID,County,Last30Days,Last60Days,Last90Days,Last180Days,SinceJan1,SinceOct1
BEAVER FIRE TOWER, 160617, Evangeline Parish, 6.97, 10.48, 13.04, 28.69, 32.12, 38.03
BUNKIE, 161287, Avoyelles Parish, 11.54, 14.76, 20.16, 37.29, 40.89, 48.74
MARKSVILLE, 165920, Avoyelles Parish, 5.58, 9.81, 13.07, 30.58, 34.24, 43.23
LEESVILLE, 165266, Vernon Parish, 4.19, 8.27, 9.50, 22.69, 28.10, 34.01
ALEXANDRIA ESLER FIELD, 13935, Rapides Parish, 8.83, 11.31, 13.62, 29.76, 36.12, 41.19
BOYCE 3 WNW, 161232, Rapides Parish, 8.55, 12.26, 13.94, 31.11, 38.78, 44.97
PEASON RIDGE RANGE, 03949, Sabine Parish, 6.00, 8.08, 8.08, 22.57, 27.91, 36.82
JONESVILLE LOCKS, 164739, Catahoula Parish, 7.88, 14.77, 16.41, 33.02, 38.36, 43.25
LELAND BOWMAN LOCK, 165296, Vermilion Parish, 7.04, 14.27, 15.61, 23.94, 26.60, 32.87
SLIDELL, 168539, Saint Tammany Parish, 6.23, 16.64, 20.57, 31.49, 38.92, 46.64
SALT POINT, 12968, Saint Mary Parish, 4.91, 10.14, 10.57, 17.06, 21.34, 25.76
FRANKLIN 3 NW, 163313, Saint Mary Parish, 13.80, 19.68, 24.73, 35.71, 38.83, 46.71
HACKBERRY 8 SSW, 163979, Cameron Parish, 3.67, 3.67, 3.67, 3.67, 3.67, 3.67
NAPOLEONVILLE, 166561, Assumption Parish, 7.11, 12.53, 17.53, 30.94, 35.89, 43.79
JEANERETTE 5 NW, 164674, Iberia Parish, 7.63, 13.28, 16.19, 29.81, 32.49, 39.05
ABBEVILLE, 160007, Vermilion Parish, 4.70, 15.67, 17.32, 24.54, 28.42, 35.15
LAKE ARTHUR 7 SW, 165065, Cameron Parish, 8.16, 14.78, 15.28, 23.78, 25.33, 32.63
NEW IBERIA AIRPORT - ACADIANA REGIONAL, 53915, Iberia Parish, 10.38, 15.74, 17.56, 31.10, 33.19, 37.95
BLANCHARD, 160861, Caddo Parish, 6.20, 8.75, 9.35, 27.01, 31.33, 37.86
HOUMA 4.4 NNW, LATR0015, Terrebonne Parish, 1.28, 1.28, 1.28, 1.28, 1.28, 1.28
DONALDSONVILLE 4 SW, 162534, Assumption Parish, 3.30, 10.62, 17.71, 35.32, 40.37, 47.93
BAYOU SORREL LOCK, 160565, Iberville Parish, 7.65, 10.49, 14.41, 23.18, 27.29, 35.19
LAKE CHARLES REGIONAL AP, 03937, Calcasieu Parish, 5.57, 9.87, 13.51, 20.60, 23.01, 28.49
GONZALES, 163695, Ascension Parish, 6.24, 11.52, 16.34, 31.77, 36.17, 41.36
CARVILLE 2 SW, 161565, Iberville Parish, 9.76, 22.14, 24.26, 40.50, 44.47, 50.66
LAFAYETTE REGIONAL AP, 13976, Lafayette Parish, 11.62, 18.00, 21.51, 31.58, 35.08, 42.58
CROWLEY 2 NE, 162212, Acadia Parish, 3.80, 8.23, 10.97, 23.63, 26.35, 34.06
JENNINGS, 164700, Jefferson Davis Parish, 6.19, 9.97, 10.45, 23.62, 26.33, 33.39
LAKE CHARLES PORT, 165076, Calcasieu Parish, 5.61, 11.88, 13.62, 23.09, 27.01, 32.82
